Study,Group,Time,Intensity,RER,daily_CHO_gKg,daily_fat_gKG,Carb_before,Min_before,pct_female,Age,vo2max,carb_during_rate_hr,Start_glycogen,pct_type1fibers
Abramowicz 2005,Placebo female,15,55.520504731861195,0.81,4.669824840764331,0.9831210191082804,NA,180,100,30,50.47770700636943,0,NA,NA
Abramowicz 2005,Placebo female,30,61.82965299684543,0.79,4.669824840764331,0.9831210191082804,NA,180,100,30,50.47770700636943,0,NA,NA
Abramowicz 2005,Placebo female,45,60.88328075709779,0.79,4.669824840764331,0.9831210191082804,NA,180,100,30,50.47770700636943,0,NA,NA
Abramowicz 2005,Placebo female,60,61.198738170347,0.78,4.669824840764331,0.9831210191082804,NA,180,100,30,50.47770700636943,0,NA,NA
Abramowicz 2005,Placebo Male,15,60.408163265306115,0.83,6.861780455153948,1.3145173285735534,NA,180,0,25,65.59571619812583,0,NA,NA
Abramowicz 2005,Placebo Male,30,61.83673469387754,0.82,6.861780455153948,1.3145173285735534,NA,180,0,25,65.59571619812583,0,NA,NA
Abramowicz 2005,Placebo Male,45,62.44897959183673,0.81,6.861780455153948,1.3145173285735534,NA,180,0,25,65.59571619812583,0,NA,NA
Abramowicz 2005,Placebo Male,60,63.87755102040815,0.8,6.861780455153948,1.3145173285735534,NA,180,0,25,65.59571619812583,0,NA,NA
Ahlborg 1974,Control,40,32.241813602015114,0.81,5.970394736842106,1.4473684210526316,0,NA,0,28,52.237,0,NA,NA
Ahlborg 1974,Control,90,32.795969773299745,0.82,5.970394736842106,1.4473684210526316,0,NA,0,28,52.237,0,NA,NA
Ahlborg 1974,Control,180,34.38287153652393,0.79,5.970394736842106,1.4473684210526316,0,NA,0,28,52.237,0,NA,NA
Ahlborg 1974,Control,240,35.69269521410579,0.76,5.970394736842106,1.4473684210526316,0,NA,0,28,52.237,0,NA,NA
Arkinstall 2004b,High glycogen,10,45,0.87,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,10,70,0.93,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,High glycogen,20,45,0.86,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,20,70,0.91,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,High glycogen,30,45,0.85,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,30,70,0.89,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,High glycogen,40,45,0.85,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,40,70,0.89,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,High glycogen,50,45,0.85,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,50,70,0.89,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,High glycogen,60,45,0.85,10,1,0,NA,0,33,57.78331257783313,0,591,NA
Arkinstall 2004b,High glycogen,60,70,0.89,10,1,0,NA,0,33,57.78331257783313,0,601,NA
Arkinstall 2004b,low glycogen,10,45,0.76,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,10,70,0.81,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Arkinstall 2004b,low glycogen,20,45,0.75,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,20,70,0.8,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Arkinstall 2004b,low glycogen,30,45,0.74,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,30,70,0.79,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Arkinstall 2004b,low glycogen,40,45,0.74,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,40,70,0.79,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Arkinstall 2004b,low glycogen,50,45,0.74,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,50,70,0.79,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Arkinstall 2004b,low glycogen,60,45,0.74,0.7,4.4,0,NA,0,33,57.78331257783313,0,180,NA
Arkinstall 2004b,low glycogen,60,70,0.79,0.7,4.4,0,NA,0,33,57.78331257783313,0,223,NA
Ataide-Silva 2016,Dep placebo,10,61.18249068357529,0.86,4.183535762483131,1.8695186684660372,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Dep placebo,20,65.28083934180522,0.85,4.183535762483131,1.8695186684660372,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Dep placebo,30,64.10988258231095,0.84,4.183535762483131,1.8695186684660372,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fast placebo,10,57.96235959496606,0.92,5.824561403508772,1.0857390913180387,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fast placebo,20,60.011533924081014,0.91,5.8380566801619445,1.0857390913180387,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fast placebo,30,59.42605554433389,0.89,5.851551956815116,1.0857390913180387,0,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fed placebo,10,60.3042731139546,0.95,5.784075573549258,1.0857390913180387,77,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fed placebo,20,62.060708253196,0.94,5.79757085020243,1.0857390913180387,77,NA,0,31.5,46.1,0,NA,NA
Ataide-Silva 2016,Fed placebo,30,60.59701230382816,0.94,5.811066126855601,1.0857390913180387,77,NA,0,31.5,46.1,0,NA,NA
Baur 2014,GF,15,59,0.94,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,GF,60,61,0.92,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,GF,120,61,0.89,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,HG,15,61,0.92,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,HG,60,61,0.9,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,HG,120,63,0.88,3,3.85,100,120,0,25,62,93,NA,NA
Baur 2014,MG,15,59,0.94,3,3.85,100,120,0,25,62,61.800000000000004,NA,NA
Baur 2014,MG,60,61,0.91,3,3.85,100,120,0,25,62,61.800000000000004,NA,NA
Baur 2014,MG,120,61,0.89,3,3.85,100,120,0,25,62,61.800000000000004,NA,NA
Baur 2014,Pl,15,59,0.91,3,3.85,100,120,0,25,62,0,NA,NA
Baur 2014,Pl,60,61,0.87,3,3.85,100,120,0,25,62,0,NA,NA
Baur 2014,Pl,120,63,0.84,3,3.85,100,120,0,25,62,0,NA,NA
Bishop 2001,High,20,67.7,0.94,8.8,0.4816859446196986,0,NA,0,27,63.4,0,NA,NA
Bishop 2001,Low,20,69.4,0.85,1.1,3.8052351910269895,0,NA,0,27,63.4,0,NA,NA
Blomstrand 1995,CHO,17,75.45871559633028,0.83,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,36,118,NA
Blomstrand 1995,CHO,47,74.08256880733944,0.83,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,36,118,NA
Blomstrand 1995,CHO+BCAA,17,75.22935779816513,0.82,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,36,114,NA
Blomstrand 1995,CHO+BCAA,47,73.62385321100918,0.81,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,36,114,NA
Blomstrand 1995,Water,17,74.54128440366972,0.82,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,0,102,NA
Blomstrand 1995,Water,47,71.33027522935778,0.82,6.785714285714285,1.5873015873015872,0,NA,0,19,69.2,0,102,NA
Bradley 2008,PUFA,15,68,0.947,6.2,0.7274640522875817,2,NA,0,25,45.2,0,NA,NA
Bradley 2008,SFA,15,68,0.969,4.988235294117647,0.8250718954248367,2,NA,0,25,45.2,0,NA,NA
Broad 2008,Placebo 0 wk,15,69.7,0.8363477727052296,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 0 wk,30,69.7,0.8256153170578417,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 0 wk,45,69.7,0.8150106783192467,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 0 wk,60,69.7,0.8069137057734626,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 0 wk,75,69.7,0.7978122091079188,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 0 wk,90,69.7,0.7943975808117278,6.456,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,15,69.7,0.829014185486324,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,30,69.7,0.8174673475662861,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,45,69.7,0.804814087934616,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,60,69.7,0.8017280377434914,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,75,69.7,0.7890233356321338,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2008,Placebo 2 wk,90,69.7,0.7907446689337478,6.521739130434782,1.2404285923968883,75.7,120,0,32,64.993,0,NA,NA
Broad 2011,Placebo d 0,20,20,0.8866824183802807,6.7,1.1845730027548211,73.5,180,0,31,69.252,0,NA,NA
Broad 2011,Placebo d 14,20,20,0.9203173672119055,6.7,1.1845730027548211,73.5,180,0,31,69.252,0,NA,NA
Broad 2011,Placebo d 15,20,20,0.7944867227166063,1.7,3.388429752066116,15,180,0,31,69.252,0,NA,NA
Burgomaster 2006,Post 60,10,60,0.96,3.6828832692307687,0.956,NA,NA,0,21,48.717948717948715,0,619,NA
Burgomaster 2006,Pre 60,10,60,0.96,4.084335,0.833299715099715,NA,NA,0,21,48.717948717948715,0,400,NA
Burke 2000,fat day 6,20,70,0.8187156482322,2.4,4,0,NA,0,29.3,64.4,0,255,NA
Burke 2000,HCHO,20,70,0.9261869780916,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,HCHO,40,70,0.9097751001327,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,HCHO,60,70,0.9050103613705,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,HCHO,80,70,0.894951468428,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,HCHO,100,70,0.8806572521413,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,HCHO,120,70,0.8700689437808,9.9,0.8064516129032258,0,NA,0,29.3,64.4,0,608,NA
Burke 2000,high cho Day 6,20,70,0.8790690058872,9.6,0.7,0,NA,0,29.3,64.4,0,464,NA
Burke 2002,fat day 6,20,70,0.7982881471025,2.5,4.3,0,NA,0,27.9,68.6,0,NA,NA
Burke 2002,HCHO,20,70,0.9518673441938,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,HCHO,40,70,0.9391058505261,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,HCHO,60,70,0.9377633903403,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,HCHO,80,70,0.9244232562644,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,HCHO,100,70,0.9167969706107,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,HCHO,120,70,0.9006047854652,10,1,147.4,120,0,27.9,68.6,43.77779999999999,NA,NA
Burke 2002,high cho Day 6,20,70,0.8812672338157,9.3,1.1,0,NA,0,27.9,68.6,0,NA,NA
Carey 2001,FAT ADAPT d2,15,65,0.8488861578881,9,1.8,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,FAT ADAPT d5,15,65,0.7883899285145,2.4485981308411215,4.6,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,FAT ADAPT d8,15,65,0.7778942332315,2.4485981308411215,4.6,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,HCHO d2,15,65,0.8488861578881,9,1.8,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,HCHO d5,15,65,0.8488070177362,10.507343124165553,1,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,HCHO d8,15,65,0.888835892685,10.507343124165553,1,0,NA,0,23.9,67.55674232309745,0,NA,NA
Carey 2001,HCHO d9,15,65,0.9288604897877,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,30,65,0.9293021773923,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,45,65,0.9297417260739,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,60,65,0.9202898252271,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,90,65,0.9097962688671,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,120,65,0.9102368870102,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,150,65,0.8898454643527,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,180,65,0.8809133218009,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,210,65,0.8704186959794,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carey 2001,HCHO d9,240,65,0.870338486366,10.934579439252335,1,224.70000000000002,60,0,23.9,67.55674232309745,100,NA,NA
Carter 2001a,Abs,30,48.0451839324795,0.8689349438089,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Abs,60,48.19453840508424,0.8484037472555,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Abs,75,48.79240346460338,0.8583595400557,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Abs,90,48.76244313625618,0.848650526403,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Female,30,55.078125,0.8595147088854,4.355,0.893,36,184,100,22,36.7,0,NA,47.5
Carter 2001a,Female,60,55.078125,0.8388670134176,4.355,0.893,36,185,100,22,36.7,0,NA,47.5
Carter 2001a,Female,75,55.078125,0.848750615623,4.355,0.893,36,186,100,22,36.7,0,NA,47.5
Carter 2001a,Female,90,55.078125,0.838160698627,4.355,0.893,36,187,100,22,36.7,0,NA,47.5
Carter 2001a,Male,30,55.240793201133144,0.8988833499501,5.609999999999999,1.44,52.8,180,0,22,45.1,0,NA,39
Carter 2001a,Male,60,56.657223796033996,0.8987079724681,5.609999999999999,1.44,52.8,181,0,22,45.1,0,NA,39
Carter 2001a,Male,75,57.22379603399433,0.9085939771048,5.609999999999999,1.44,52.8,182,0,22,45.1,0,NA,39
Carter 2001a,Male,90,57.5070821529745,0.8985301925549,5.609999999999999,1.44,52.8,183,0,22,45.1,0,NA,39
Carter 2001a,Pre,30,59.710791236330486,0.8993627535108,4.602626123013131,1.1972318339100345,36,180,50,22,36.9,0,NA,45
Carter 2001a,Pre,60,61.15234107179981,0.8788285979749,4.602626123013131,1.1972318339100345,36,180,50,22,36.9,0,NA,45
Carter 2001a,Pre,75,62.50463669938553,0.8787682347302,4.602626123013131,1.1972318339100345,36,180,50,22,36.9,0,NA,45
Carter 2001a,Pre,90,62.72116578990642,0.8787049125029,4.602626123013131,1.1972318339100345,36,180,50,22,36.9,0,NA,45
Carter 2001a,Rel,30,57.043790906969086,0.8886009338549,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Rel,60,58.03046948124281,0.8884778401794,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Rel,75,58.314869015897926,0.8887861661646,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Carter 2001a,Rel,90,58.59837421238369,0.87833503968,5.555246699096595,1.1972318339100345,36,180,50,22,44.75,0,NA,41.5
Cole 2014,High CHO,30,68.74851885656902,0.91,9.247027741083222,1.1742257448994569,0,NA,0,40,56.3,0,NA,NA
Cole 2014,High CHO,60,71.32952127097946,0.89,9.247027741083222,1.1742257448994569,0,NA,0,40,56.3,0,NA,NA
Cole 2014,High CHO,90,71.7987944372359,0.89,9.247027741083222,1.1742257448994569,0,NA,0,40,56.3,0,NA,NA
Cole 2014,High CHO,120,70.86024810472301,0.86,9.247027741083222,1.1742257448994569,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Low CHO,30,70.86024810472301,0.86,2.642007926023778,4.109790107148099,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Low CHO,60,72.50270418662056,0.84,2.642007926023778,4.109790107148099,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Low CHO,90,74.61443343477457,0.83,2.642007926023778,4.109790107148099,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Low CHO,120,76.49152609980034,0.83,2.642007926023778,4.109790107148099,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Mod CHO,30,70.86024810472301,0.89,5.9445178335535,2.642007926023778,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Mod CHO,60,72.50270418662056,0.88,5.9445178335535,2.642007926023778,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Mod CHO,90,74.61443343477457,0.86,5.9445178335535,2.642007926023778,0,NA,0,40,56.3,0,NA,NA
Cole 2014,Mod CHO,120,74.84907001790279,0.85,5.9445178335535,2.642007926023778,0,NA,0,40,56.3,0,NA,NA
Cook 2015,Placebo,10,44,0.91,6.3,2,NA,NA,0,38,53,0,NA,NA
Cook 2017,0 mg,15,62.1,0.8745247148288973,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,30,63.8,0.874074074074074,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,45,63.4,0.8731343283582088,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,60,63.2,0.8694029850746269,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,75,64.5,0.8498168498168498,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,90,64.3,0.8560885608856088,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,105,63.9,0.8447653429602887,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Cook 2017,0 mg,120,65.4,0.8404255319148937,6.7,3.1,NA,NA,0,38,56.7,0,NA,NA
Davison 2006,Control,60,60.1,0.88,5.8,1.083089415041783,0,NA,0,26,61.6,0,NA,NA
Davison 2006,Control,120,61.7,0.85,5.8,1.083089415041783,0,NA,0,26,61.6,0,NA,NA
Davison 2012,Control,15,52.85,0.98,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
Davison 2012,Control,30,55.33,0.95,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
Davison 2012,Control,60,56.92,0.93,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
Davison 2012,Control,90,58.05,0.91,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
Davison 2012,Control,120,57.96,0.91,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
Davison 2012,Control,150,58.44,0.91,5.4,1.083089415041783,26,120,0,22,53.1,0,NA,NA
De Bock 2005,Carb,60,NA,0.89,6.175675675675675,1.0360111711711713,153.42499999999998,120,0,22.8,NA,74,446,NA
De Bock 2005,Carb,120,NA,0.88,6.175675675675675,1.0360111711711713,153.42499999999998,120,0,22.8,NA,74,446,NA
De Bock 2005,Fast,60,NA,0.84,6.175675675675675,1.0360111711711713,0,NA,0,22.8,NA,0,458,NA
De Bock 2005,Fast,120,NA,0.81,6.175675675675675,1.0360111711711713,0,NA,0,22.8,NA,0,458,NA
De Bock 2007,CHO,120,75,0.88,6.1,1.023587004895416,153,120,0,23,NA,75,455,57
De Bock 2007,Fast,120,75,0.81,6.1,1.023587004895416,0,NA,0,23,NA,0,466,57
Dearlove 2020,Control,15,36.147239756608585,0.8580246913580246,11.34,2.02,0,NA,16.666666666666664,21,56.73,0,NA,NA
Dearlove 2020,Control,20,34.58532198934772,0.8451612903225807,11.34,2.02,0,NA,16.666666666666664,21,56.73,0,NA,NA
Deli 2018,Currant,30,63.41991341991342,0.91,3.997808219178083,0.9855967123287669,110,30,18,33.3,46.2,0,NA,NA
Deli 2018,Currant,60,63.85281385281385,0.89,3.997808219178083,0.9855967123287669,110,30,18,33.3,46.2,0,NA,NA
Deli 2018,Currant,90,65.8008658008658,0.9,3.997808219178083,0.9855967123287669,110,30,18,33.3,46.2,0,NA,NA
